Air Srpska,\N,RB,SBK,Air Srpska,Bosnia and Herzegovina,N
Air Tahiti Nui,\N,TN,THT,TAHITI AIRLINES,France,Y
Airvias S/A Linhas Aereas,\N,,AIV,AIRVIAS,Brazil,N
Aero Services Executive,\N,W4,BES,BIRD EXPRESS,France,N
Atlantic Island Airways,\N,,AIW,TARTAN,Canada,N
Aircruising Australia,\N,,AIX,CRUISER,Australia,N
Aircrew Check and Training Australia,\N,,AIY,AIRCREW,Australia,N
Arkia Israel Airlines,\N,IZ,AIZ,ARKIA,Israel,Y
A J Services,\N,,AJA,AYJAY SERVICES,United Kingdom,N
Aero JBR,\N,,AJB,AERO JBR,Mexico,N
Aero Jet Express,\N,,AJE,JET EXPRESS,Mexico,N
Avia Consult Flugbetriebs,\N,,AJF,AVIACONSULT,Austria,N
Ameristar Jet Charter,\N,,AJI,AMERISTAR,United States,N
A2 Jet Leasing,\N,,AJJ,ATLANTIC JET,United States,N
Allied Air,\N,,AJK,BAMBI,Nigeria,N
Air Jamaica,\N,JM,AJM,JAMAICA,Jamaica,Y
Air One,\N,AP,ADH,HERON,Italy,Y
Air Sahara,\N,S2,RSH,SAHARA,India,Y
Air Malta,\N,KM,AMC,AIR MALTA,Malta,Y
Aeroejecutivo,\N,,AJO,AEROEXO,Mexico,N
Aero Jets Corporativos,\N,,AJP,AEROJETS,Mexico,N
Aeroejecutivos Colombia,\N,,AJS,AEROEJECUTIVOS,Colombia,N
Amerijet International,\N,M6,AJT,AMERIJET,United States,N
Air Jetsul,\N,,AJU,AIRJETSUL,Portugal,N
ANA & JP Express,\N,,AJV,AYJAY CARGO,Japan,N
Alpha Jet International,\N,,AJW,ALPHAJET,United States,N
Air Japan,\N,NQ,AJX,AIR JAPAN,Japan,Y
Ajet,\N,,AJY,AYJET,Cyprus,N
Air Korea Co. Ltd.,\N,,AKA,,Republic of Korea,Y
Air Livonia,\N,,LIV,LIVONIA,Estonia,N
Air BC,\N,,ABL,AIRCOACH,Canada,N
Air Fret Senegal,\N,,ABN, ,Senegal,N
Air Jamahiriya Company,\N,,LJA,AIR JAMAHIRIYA,Libya,N
Aktjubavia,\N,,AKB,KARAB,Kazakhstan,N
Arca Aerovias Colombianas Ltda.,\N,,AKC,ARCA,Colombia,N
Anikay Air Company,\N,,AKF,ANIKAY,Kyrgyzstan,N
Akhal,\N,,AKH,AKHAL,Turkmenistan,N
Aeromilenio,\N,,MNI,AEROMIL,Mexico,N
Aklak Air,\N,,AKK,AKLAK,Canada,N
Air Kiribati,\N,4A,AKL,,Kiribati,Y
Alkan Air,\N,,AKN,ALKAN AIR,Canada,N
Angkor Airways,\N,,AKW,ANGKORWAYS,Cambodia,N
Air Nippon Network Co. Ltd.,\N,EH,AKX,ALFA WING,Japan,N
AK Navigator LLC,\N,,AKZ,ABSOLUTE,Kazakhstan,N
Aero Albatros,\N,,ALB,ALBATROS,Mexico,N
Albion Aviation,\N,,ALD,ALBION,United Kingdom,N
Aeroalas Colombia,\N,,ALE,AEROALAS,Colombia,N
Allied Command Europe (Mobile Force),\N,,ALF,ACEFORCE,Belgium,N
Aerotaxis Albatros,\N,,BTS,AEROLINEAS ALBATROS,Mexico,N
American Flyers,\N,,FYS,AMERICAN FLYERS,United States,N
Aero Coach Aviation,\N,,DFA,AERO COACH,United States,N
Atlantic Southeast Airlines,\N,,CAA,Chandler,United States,N
ACM Air Charter,\N,,BVR,BAVARIAN,Germany,N
Air Logistics,\N,,ALG,AIRLOG,United States,N
Aerovallarta,\N,,ALL,VALLARTA,Mexico,N
Air ALM,\N,,ALM,ANTILLEAN,Netherlands Antilles,N
Air Lincoln,\N,,ALN,CHICAGO LINCOLN,United States,N
America West Airlines,\N,HP,AWE,CACTUS,United States,Y
Air Wisconsin,\N,ZW,AWI,AIR WISCONSIN,United States,Y
Aerotransporte de Carga Union,\N,,TNO,AEROUNION,Mexico,N
Aero Taxis Cessna,\N,,TND,TAXIS CESSNA,Mexico,N
Arizona Express Airlines,\N,,TMP,TEMPE,United States,N
Tatarstan Airlines,\N,U9,TAK,TATARSTAN,Russia,Y
